team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;% of defeats in overtime;goals_ratio
Vancouver Canucks;1999;30;29;8;36.6;227;237;-10;21.62;0.96
Washington Capitals;1999;44;24;2;53.7;227;194;33;7.69;1.17
Mighty Ducks of Anaheim;2000;25;41;5;30.5;188;245;-57;10.87;0.77
Atlanta Thrashers;2000;23;45;2;28.0;211;289;-78;4.26;0.73
Boston Bruins;2000;36;30;8;43.9;227;249;-22;21.05;0.91
Buffalo Sabres;2000;46;30;1;56.1;218;184;34;3.23;1.18
Calgary Flames;2000;27;36;4;32.9;197;236;-39;10.0;0.83
Carolina Hurricanes;2000;38;32;3;46.3;212;225;-13;8.57;0.94
Columbus Blue Jackets;2000;28;39;6;34.1;190;233;-43;13.33;0.82
Chicago Blackhawks;2000;29;40;5;35.4;210;246;-36;11.11;0.85
Colorado Avalanche;2000;52;16;4;63.4;270;192;78;20.0;1.41
Dallas Stars;2000;48;24;2;58.5;241;187;54;7.69;1.29
Detroit Red Wings;2000;49;20;4;59.8;253;202;51;16.67;1.25
Edmonton Oilers;2000;39;28;3;47.6;243;222;21;9.68;1.09
Florida Panthers;2000;22;38;9;26.8;200;246;-46;19.15;0.81
Los Angeles Kings;2000;38;28;3;46.3;252;228;24;9.68;1.11
Minnesota Wild;2000;25;39;5;30.5;168;210;-42;11.36;0.8
Montreal Canadiens;2000;28;40;6;34.1;206;232;-26;13.04;0.89
Nashville Predators;2000;34;36;3;41.5;186;200;-14;7.69;0.93
New Jersey Devils;2000;48;19;3;58.5;295;195;100;13.64;1.51
New York Islanders;2000;21;51;3;25.6;185;268;-83;5.56;0.69
New York Rangers;2000;33;43;1;40.2;250;290;-40;2.27;0.86
Ottawa Senators;2000;48;21;4;58.5;274;205;69;16.0;1.34
Philadelphia Flyers;2000;43;25;3;52.4;240;207;33;10.71;1.16
Phoenix Coyotes;2000;35;27;3;42.7;214;212;2;10.0;1.01
Pittsburgh Penguins;2000;42;28;3;51.2;281;256;25;9.68;1.1
San Jose Sharks;2000;40;27;3;48.8;217;192;25;10.0;1.13
St. Louis Blues;2000;43;22;5;52.4;249;195;54;18.52;1.28
Tampa Bay Lightning;2000;24;47;5;29.3;201;280;-79;9.62;0.72
Toronto Maple Leafs;2000;37;29;5;45.1;232;207;25;14.71;1.12
Vancouver Canucks;2000;36;28;7;43.9;239;238;1;20.0;1.0
Washington Capitals;2000;41;27;4;50.0;233;211;22;12.9;1.1
Mighty Ducks of Anaheim;2001;29;42;3;35.4;175;198;-23;6.67;0.88
Atlanta Thrashers;2001;19;47;5;23.2;187;288;-101;9.62;0.65
Boston Bruins;2001;43;24;9;52.4;236;201;35;27.27;1.17
Buffalo Sabres;2001;35;35;1;42.7;213;200;13;2.78;1.06
Calgary Flames;2001;32;35;3;39.0;201;220;-19;7.89;0.91
Carolina Hurricanes;2001;35;26;5;42.7;217;217;0;16.13;1.0
Columbus Blue Jackets;2001;22;47;5;26.8;164;255;-91;9.62;0.64
Chicago Blackhawks;2001;41;27;1;50.0;216;207;9;3.57;1.04
Colorado Avalanche;2001;45;28;1;54.9;212;169;43;3.45;1.25
Dallas Stars;2001;36;28;5;43.9;215;213;2;15.15;1.01
Detroit Red Wings;2001;51;17;4;62.2;251;187;64;19.05;1.34
Edmonton Oilers;2001;38;28;4;46.3;205;182;23;12.5;1.13
Florida Panthers;2001;22;44;6;26.8;180;250;-70;12.0;0.72
Los Angeles Kings;2001;40;27;4;48.8;214;190;24;12.9;1.13
Minnesota Wild;2001;26;35;9;31.7;195;238;-43;20.45;0.82
Montreal Canadiens;2001;36;31;3;43.9;207;209;-2;8.82;0.99
Nashville Predators;2001;28;41;0;34.1;196;230;-34;0.0;0.85
New Jersey Devils;2001;41;28;4;50.0;205;187;18;12.5;1.1
New York Islanders;2001;42;28;4;51.2;239;220;19;12.5;1.09
New York Rangers;2001;36;38;4;43.9;227;258;-31;9.52;0.88
Ottawa Senators;2001;39;27;7;47.6;243;208;35;20.59;1.17
Philadelphia Flyers;2001;42;27;3;51.2;234;192;42;10.0;1.22
Phoenix Coyotes;2001;40;27;6;48.8;228;210;18;18.18;1.09
Pittsburgh Penguins;2001;28;41;5;34.1;198;249;-51;10.87;0.8
San Jose Sharks;2001;44;27;3;53.7;248;199;49;10.0;1.25
St. Louis Blues;2001;43;27;4;52.4;227;188;39;12.9;1.21
Tampa Bay Lightning;2001;27;40;4;32.9;178;219;-41;9.09;0.81
Toronto Maple Leafs;2001;43;25;4;52.4;249;207;42;13.79;1.2
Vancouver Canucks;2001;42;30;3;51.2;254;211;43;9.09;1.2
Washington Capitals;2001;36;33;2;43.9;228;240;-12;5.71;0.95
Mighty Ducks of Anaheim;2002;40;27;6;48.8;203;193;10;18.18;1.05
Atlanta Thrashers;2002;31;39;5;37.8;226;284;-58;11.36;0.8
Boston Bruins;2002;36;31;4;43.9;245;237;8;11.43;1.03
Buffalo Sabres;2002;27;37;8;32.9;190;219;-29;17.78;0.87
Calgary Flames;2002;29;36;4;35.4;186;228;-42;10.0;0.82
Carolina Hurricanes;2002;22;43;6;26.8;171;240;-69;12.24;0.71
Columbus Blue Jackets;2002;29;42;3;35.4;213;263;-50;6.67;0.81
Chicago Blackhawks;2002;30;33;6;36.6;207;226;-19;15.38;0.92
Colorado Avalanche;2002;42;19;8;51.2;251;194;57;29.63;1.29
Dallas Stars;2002;46;17;4;56.1;245;169;76;19.05;1.45
Detroit Red Wings;2002;48;20;4;58.5;269;203;66;16.67;1.33
Edmonton Oilers;2002;36;26;9;43.9;231;230;1;25.71;1.0
Florida Panthers;2002;24;36;9;29.3;176;237;-61;20.0;0.74
Los Angeles Kings;2002;33;37;6;40.2;203;221;-18;13.95;0.92
Minnesota Wild;2002;42;29;1;51.2;198;178;20;3.33;1.11
Montreal Canadiens;2002;30;35;9;36.6;206;234;-28;20.45;0.88
Nashville Predators;2002;27;35;7;32.9;183;206;-23;16.67;0.89
New Jersey Devils;2002;46;20;6;56.1;216;166;50;23.08;1.3
New York Islanders;2002;35;34;2;42.7;224;231;-7;5.56;0.97
New York Rangers;2002;32;36;4;39.0;210;231;-21;10.0;0.91
Ottawa Senators;2002;52;21;1;63.4;263;182;81;4.55;1.45
Philadelphia Flyers;2002;45;20;4;54.9;211;166;45;16.67;1.27
Phoenix Coyotes;2002;31;35;5;37.8;204;230;-26;12.5;0.89
Pittsburgh Penguins;2002;27;44;5;32.9;189;255;-66;10.2;0.74
San Jose Sharks;2002;28;37;8;34.1;214;239;-25;17.78;0.9
St. Louis Blues;2002;41;24;6;50.0;253;222;31;20.0;1.14
Tampa Bay Lightning;2002;36;25;5;43.9;219;210;9;16.67;1.04
Toronto Maple Leafs;2002;44;28;3;53.7;236;208;28;9.68;1.13
Vancouver Canucks;2002;45;23;1;54.9;264;208;56;4.17;1.27
Washington Capitals;2002;39;29;6;47.6;224;220;4;17.14;1.02
Mighty Ducks of Anaheim;2003;29;35;8;35.4;184;213;-29;18.6;0.86
Atlanta Thrashers;2003;33;37;4;40.2;214;243;-29;9.76;0.88
Boston Bruins;2003;41;19;7;50.0;209;188;21;26.92;1.11
Buffalo Sabres;2003;37;34;4;45.1;220;221;-1;10.53;1.0
Calgary Flames;2003;42;30;3;51.2;200;176;24;9.09;1.14
Carolina Hurricanes;2003;28;34;6;34.1;172;209;-37;15.0;0.82
Columbus Blue Jackets;2003;25;45;4;30.5;177;238;-61;8.16;0.74
Chicago Blackhawks;2003;20;43;8;24.4;188;259;-71;15.69;0.73
Colorado Avalanche;2003;40;22;7;48.8;236;198;38;24.14;1.19
